Sample,Raw_Reads,Cleaned_Reads,Read1_Length,GC_Content(%)
SRR27129218,7716762.0,7716762,150,32.93
SRR27129336,12024330.0,12024330,150,32.94
SRR27129337,13446316.0,13446316,150,32.76
